filename,family,lobes,base_radius,amplitude,samples_per_lobe,phase_deg,height,z_jitter,jitter_freq,math_seconds,math_text,superslicer_estimate,abs_error,status,stdout_log,stderr_log
rand_lob16_br9p4030_amp0p5750_spl14_ph2p7550_jit0p0630_jf7_h20p0000.stl,gear_sine,16,9.403,0.575,14,2.755,20.0,0.063,7,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4030_amp0p5750_spl14_ph2p7550_jit0p0630_jf7_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4030_amp0p5750_spl14_ph2p7550_jit0p0630_jf7_h20p0000.stderr.txt
rand_lob16_br9p4440_amp1p4420_spl10_ph6p6430_jit0p0140_jf7_h20p0000.stl,gear_sine,16,9.444,1.442,10,6.643,20.0,0.014,7,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4440_amp1p4420_spl10_ph6p6430_jit0p0140_jf7_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4440_amp1p4420_spl10_ph6p6430_jit0p0140_jf7_h20p0000.stderr.txt
rand_lob16_br8p9410_amp1p0550_spl10_ph6p3140_jit0p3220_jf19_h20p0000.stl,gear_sine,16,8.941,1.055,10,6.314,20.0,0.322,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9410_amp1p0550_spl10_ph6p3140_jit0p3220_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9410_amp1p0550_spl10_ph6p3140_jit0p3220_jf19_h20p0000.stderr.txt
rand_lob16_br9p2990_amp0p7700_spl18_ph3p1300_jit0p3910_jf9_h20p0000.stl,gear_sine,16,9.299,0.77,18,3.13,20.0,0.391,9,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p2990_amp0p7700_spl18_ph3p1300_jit0p3910_jf9_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p2990_amp0p7700_spl18_ph3p1300_jit0p3910_jf9_h20p0000.stderr.txt
rand_lob16_br9p4680_amp0p8900_spl12_ph2p4220_jit0p3440_jf7_h20p0000.stl,gear_sine,16,9.468,0.89,12,2.422,20.0,0.344,7,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4680_amp0p8900_spl12_ph2p4220_jit0p3440_jf7_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p4680_amp0p8900_spl12_ph2p4220_jit0p3440_jf7_h20p0000.stderr.txt
rand_lob16_br8p8020_amp0p6470_spl22_ph3p8700_jit0p1190_jf7_h20p0000.stl,gear_sine,16,8.802,0.647,22,3.87,20.0,0.119,7,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p8020_amp0p6470_spl22_ph3p8700_jit0p1190_jf7_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p8020_amp0p6470_spl22_ph3p8700_jit0p1190_jf7_h20p0000.stderr.txt
rand_lob16_br9p5030_amp1p0860_spl16_ph0p8870_jit0p1320_jf19_h20p0000.stl,gear_sine,16,9.503,1.086,16,0.887,20.0,0.132,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5030_amp1p0860_spl16_ph0p8870_jit0p1320_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5030_amp1p0860_spl16_ph0p8870_jit0p1320_jf19_h20p0000.stderr.txt
rand_lob16_br9p3800_amp1p4120_spl18_ph2p1630_jit0p0310_jf19_h20p0000.stl,gear_sine,16,9.38,1.412,18,2.163,20.0,0.031,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p3800_amp1p4120_spl18_ph2p1630_jit0p0310_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p3800_amp1p4120_spl18_ph2p1630_jit0p0310_jf19_h20p0000.stderr.txt
rand_lob16_br8p9510_amp0p8390_spl10_ph9p6220_jit0p3900_jf13_h20p0000.stl,gear_sine,16,8.951,0.839,10,9.622,20.0,0.39,13,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9510_amp0p8390_spl10_ph9p6220_jit0p3900_jf13_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9510_amp0p8390_spl10_ph9p6220_jit0p3900_jf13_h20p0000.stderr.txt
rand_lob16_br9p0060_amp1p1860_spl14_ph1p8300_jit0p1600_jf19_h20p0000.stl,gear_sine,16,9.006,1.186,14,1.83,20.0,0.16,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p0060_amp1p1860_spl14_ph1p8300_jit0p1600_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p0060_amp1p1860_spl14_ph1p8300_jit0p1600_jf19_h20p0000.stderr.txt
rand_lob16_br8p9940_amp1p4870_spl20_ph0p8030_jit0p2860_jf17_h20p0000.stl,gear_sine,16,8.994,1.487,20,0.803,20.0,0.286,17,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9940_amp1p4870_spl20_ph0p8030_jit0p2860_jf17_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br8p9940_amp1p4870_spl20_ph0p8030_jit0p2860_jf17_h20p0000.stderr.txt
rand_lob16_br9p5020_amp0p7130_spl16_ph3p0370_jit0p4160_jf19_h20p0000.stl,gear_sine,16,9.502,0.713,16,3.037,20.0,0.416,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5020_amp0p7130_spl16_ph3p0370_jit0p4160_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5020_amp0p7130_spl16_ph3p0370_jit0p4160_jf19_h20p0000.stderr.txt
rand_lob16_br9p3130_amp1p2350_spl22_ph8p6440_jit0p0250_jf7_h20p0000.stl,gear_sine,16,9.313,1.235,22,8.644,20.0,0.025,7,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p3130_amp1p2350_spl22_ph8p6440_jit0p0250_jf7_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p3130_amp1p2350_spl22_ph8p6440_jit0p0250_jf7_h20p0000.stderr.txt
rand_lob16_br9p5860_amp0p9510_spl10_ph2p3740_jit0p4240_jf19_h20p0000.stl,gear_sine,16,9.586,0.951,10,2.374,20.0,0.424,19,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5860_amp0p9510_spl10_ph2p3740_jit0p4240_jf19_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p5860_amp0p9510_spl10_ph2p3740_jit0p4240_jf19_h20p0000.stderr.txt
rand_lob16_br9p0460_amp1p2050_spl16_ph9p9530_jit0p2890_jf9_h20p0000.stl,gear_sine,16,9.046,1.205,16,9.953,20.0,0.289,9,,,,,FAIL,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p0460_amp1p2050_spl16_ph9p9530_jit0p2890_jf9_h20p0000.stdout.txt,C:\Users\MONSTER\OneDrive - İstanbul Medeniyet Üniversitesi\Masaüstü\superslicer\search_runs\run_20260422_224557\rand_lob16_br9p0460_amp1p2050_spl16_ph9p9530_jit0p2890_jf9_h20p0000.stderr.txt
